Age,Workclass,Education,Education-num,Marital_status,Occupation,Relationship,Race,Sex,Hours_per_week,Native_country,Salary
<17-25>,Private,10th,6,Never-married,Other-service,Own-child,White,Female,<0-20>,United-States,<=50K
<41-65>,Self-emp-inc,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,<21-40>,United-States,<=50K
<26-40>,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,<21-40>,England,<=50K
<41-65>,Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,<21-40>,United-States,>50K
<26-40>,Private,Some-college,10,Divorced,Other-service,Unmarried,White,Female,<21-40>,Mexico,<=50K
<26-40>,Federal-gov,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,<41-60>,United-States,<=50K
<41-65>,State-gov,Masters,14,Widowed,Protective-serv,Unmarried,White,Male,<21-40>,United-States,<=50K
<17-25>,Private,10th,6,Never-married,Other-service,Own-child,White,Male,<21-40>,United-States,<=50K
<66-90>,Local-gov,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White,Female,<0-20>,United-States,<=50K
<26-40>,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,<21-40>,United-States,<=50K
<26-40>,State-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,<21-40>,United-States,<=50K
<41-65>,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,<21-40>,United-States,>50K
<26-40>,Private,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,<41-60>,United-States,<=50K
<26-40>,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,<21-40>,United-States,>50K
<26-40>,Private,HS-grad,9,Married-spouse-absent,Sales,Unmarried,White,Female,<21-40>,United-States,<=50K
<17-25>,Self-emp-not-inc,10th,6,Never-married,Adm-clerical,Own-child,White,Male,<0-20>,United-States,<=50K
<26-40>,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,<21-40>,United-States,<=50K
<17-25>,Private,12th,8,Never-married,Other-service,Own-child,White,Male,<21-40>,United-States,<=50K
<26-40>,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,<61-80>,United-States,<=50K
<41-65>,Local-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,<21-40>,United-States,>50K
<41-65>,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,<21-40>,United-States,<=50K
<26-40>,Private,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,<41-60>,United-States,<=50K
<26-40>,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<21-40>,Mexico,>50K
<26-40>,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,<41-60>,United-States,>50K
<26-40>,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,<21-40>,United-States,<=50K
<41-65>,Self-emp-not-inc,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,<21-40>,United-States,<=50K
<41-65>,Private,Bachelors,13,Divorced,Other-service,Not-in-family,White,Female,<41-60>,United-States,<=50K
<26-40>,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,<41-60>,United-States,<=50K
<41-65>,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,<0-20>,United-States,>50K
<26-40>,Private,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,<21-40>,United-States,<=50K
<17-25>,Private,11th,7,Never-married,Craft-repair,Own-child,White,Male,<0-20>,United-States,<=50K
<41-65>,Local-gov,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,<21-40>,United-States,<=50K
<41-65>,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,<41-60>,United-States,<=50K
<41-65>,Federal-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,<21-40>,United-States,<=50K
<17-25>,Private,10th,6,Never-married,Sales,Other-relative,White,Female,<0-20>,United-States,<=50K
<26-40>,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,<21-40>,United-States,<=50K
<26-40>,Federal-gov,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,<41-60>,United-States,>50K
<26-40>,Private,Masters,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,<21-40>,United-States,>50K
<17-25>,Private,11th,7,Never-married,Craft-repair,Own-child,White,Male,<0-20>,United-States,<=50K
<26-40>,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,<21-40>,United-States,<=50K
<17-25>,Private,11th,7,Never-married,Other-service,Own-child,Black,Female,<21-40>,United-States,<=50K
<41-65>,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,<41-60>,United-States,>50K
<41-65>,Local-gov,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,<21-40>,United-States,<=50K
<26-40>,State-gov,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,<21-40>,United-States,<=50K
<17-25>,Private,11th,7,Never-married,Sales,Own-child,White,Female,<0-20>,United-States,<=50K
<26-40>,Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,Black,Male,<21-40>,United-States,>50K
<26-40>,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,<41-60>,United-States,<=50K
<41-65>,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,<21-40>,United-States,>50K
<17-25>,Private,10th,6,Never-married,Other-service,Own-child,White,Male,<21-40>,United-States,<=50K
<41-65>,Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,<21-40>,United-States,<=50K
<26-40>,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,<21-40>,United-States,>50K
<26-40>,Private,Some-college,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,<21-40>,United-States,<=50K
<41-65>,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,<21-40>,United-States,<=50K
<41-65>,Self-emp-inc,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<21-40>,United-States,>50K
<26-40>,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Male,<41-60>,United-States,>50K
<41-65>,Private,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Female,<21-40>,United-States,<=50K
<26-40>,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,<41-60>,Poland,<=50K
<41-65>,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,<41-60>,United-States,<=50K
<17-25>,Private,12th,8,Never-married,Other-service,Own-child,White,Female,<0-20>,United-States,<=50K
<26-40>,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<21-40>,United-States,<=50K
<41-65>,Private,1st-4th,2,Divorced,Other-service,Not-in-family,White,Male,<21-40>,United-States,<=50K
<66-90>,Private,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,<21-40>,United-States,<=50K
<41-65>,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,<0-20>,United-States,<=50K
<41-65>,Local-gov,Preschool,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,<21-40>,United-States,<=50K
<17-25>,Local-gov,11th,7,Never-married,Other-service,Own-child,White,Female,<0-20>,United-States,<=50K
<41-65>,Private,10th,6,Divorced,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,<0-20>,United-States,<=50K
<66-90>,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,<41-60>,United-States,<=50K
<66-90>,Private,Assoc-voc,11,Widowed,Adm-clerical,Not-in-family,White,Female,<0-20>,Columbia,<=50K
<41-65>,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,<21-40>,United-States,<=50K
<26-40>,Private,11th,7,Separated,Transport-moving,Not-in-family,Black,Male,<21-40>,United-States,<=50K
<41-65>,Private,HS-grad,9,Divorced,Sales,Unmarried,Black,Female,<21-40>,United-States,<=50K
<17-25>,Private,Some-college,10,Never-married,Other-service,Own-child,Asian-Pac-Islander,Female,<21-40>,Philippines,<=50K
<26-40>,Private,Some-college,10,Divorced,Craft-repair,Other-relative,Other,Female,<21-40>,United-States,<=50K
<26-40>,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,<41-60>,United-States,>50K
<41-65>,State-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,<21-40>,United-States,<=50K
<26-40>,State-gov,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,<21-40>,United-States,<=50K
<41-65>,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,<41-60>,Iran,>50K
<26-40>,Local-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,<61-80>,United-States,>50K
<17-25>,Private,10th,6,Never-married,Sales,Own-child,White,Female,<0-20>,United-States,<=50K
<26-40>,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,<21-40>,United-States,>50K
<41-65>,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,<0-20>,United-States,<=50K
<17-25>,Self-emp-inc,11th,7,Never-married,Prof-specialty,Own-child,White,Male,<0-20>,United-States,<=50K
<17-25>,Private,10th,6,Never-married,Other-service,Own-child,White,Male,<21-40>,United-States,<=50K
<26-40>,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,<21-40>,United-States,<=50K
<41-65>,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,<21-40>,United-States,<=50K
<41-65>,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,<41-60>,United-States,>50K
<26-40>,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,<21-40>,United-States,<=50K
<26-40>,Private,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,<41-60>,United-States,>50K
<41-65>,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,<21-40>,United-States,<=50K
<41-65>,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,<21-40>,United-States,>50K
<41-65>,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Black,Female,<21-40>,United-States,<=50K
<41-65>,Local-gov,10th,6,Widowed,Other-service,Unmarried,Black,Female,<21-40>,United-States,<=50K
<17-25>,Private,11th,7,Never-married,Other-service,Not-in-family,Other,Female,<0-20>,United-States,<=50K
<41-65>,Private,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,<0-20>,United-States,<=50K
<41-65>,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,<21-40>,Cambodia,>50K
<17-25>,Private,11th,7,Never-married,Other-service,Own-child,White,Female,<0-20>,United-States,<=50K
<26-40>,Private,HS-grad,9,Separated,Other-service,Not-in-family,White,Female,<21-40>,United-States,<=50K
<41-65>,Private,Assoc-voc,11,Widowed,Exec-managerial,Not-in-family,White,Female,<41-60>,United-States,<=50K
<41-65>,Private,7th-8th,4,Divorced,Craft-repair,Not-in-family,White,Male,<21-40>,United-States,<=50K
<26-40>,Private,Bachelors,13,Divorced,Prof-specialty,Own-child,White,Female,<21-40>,United-States,<=50K
<41-65>,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,<41-60>,United-States,<=50K
<17-25>,Private,10th,6,Never-married,Other-service,Own-child,Amer-Indian-Eskimo,Female,<0-20>,United-States,<=50K
<41-65>,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,<21-40>,United-States,<=50K
<26-40>,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,<21-40>,United-States,<=50K
<26-40>,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,<61-80>,Thailand,>50K
<17-25>,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,<21-40>,United-States,<=50K
<41-65>,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,<21-40>,United-States,>50K
<26-40>,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,<41-60>,United-States,<=50K
<26-40>,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Female,<21-40>,United-States,>50K
<41-65>,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,<21-40>,United-States,>50K
<17-25>,Private,11th,7,Never-married,Sales,Own-child,White,Female,<21-40>,United-States,<=50K
<41-65>,Self-emp-not-inc,Masters,14,Married-civ-spouse,Farming-fishing,Husband,White,Male,<81-99>,United-States,<=50K
<26-40>,Local-gov,Masters,14,Never-married,Prof-specialty,Own-child,White,Male,<21-40>,United-States,<=50K
<26-40>,Private,HS-grad,9,Divorced,Prof-specialty,Own-child,White,Female,<21-40>,United-States,<=50K
<41-65>,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,<21-40>,United-States,<=50K
<41-65>,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,<21-40>,United-States,>50K
<26-40>,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,<21-40>,United-States,<=50K
<17-25>,Private,11th,7,Never-married,Other-service,Own-child,White,Female,<0-20>,United-States,<=50K
<17-25>,Local-gov,11th,7,Never-married,Sales,Own-child,White,Male,<0-20>,United-States,<=50K
<17-25>,Private,12th,8,Never-married,Sales,Not-in-family,White,Female,<0-20>,United-States,<=50K
<41-65>,Local-gov,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,<21-40>,United-States,>50K
<26-40>,Private,Assoc-acdm,12,Divorced,Sales,Unmarried,Black,Female,<41-60>,United-States,<=50K
<41-65>,Private,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,<41-60>,United-States,<=50K
<17-25>,Private,11th,7,Never-married,Other-service,Own-child,White,Female,<0-20>,United-States,<=50K
<41-65>,Federal-gov,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,<21-40>,United-States,>50K
<41-65>,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,<41-60>,United-States,>50K
<41-65>,Private,Some-college,10,Divorced,Other-service,Not-in-family,White,Male,<41-60>,United-States,<=50K
<17-25>,Private,11th,7,Never-married,Farming-fishing,Own-child,White,Male,<41-60>,United-States,<=50K
<41-65>,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,<21-40>,Ecuador,<=50K
<26-40>,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,<41-60>,United-States,<=50K
<26-40>,Private,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,<21-40>,United-States,<=50K
<26-40>,Local-gov,Bachelors,13,Never-married,Protective-serv,Not-in-family,White,Male,<41-60>,United-States,<=50K
<17-25>,Private,11th,7,Never-married,Sales,Own-child,White,Male,<0-20>,United-States,<=50K
<26-40>,Private,Bachelors,13,Never-married,Tech-support,Unmarried,Black,Female,<21-40>,United-States,<=50K
<41-65>,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,<0-20>,United-States,<=50K
<26-40>,Self-emp-inc,Bachelors,13,Divorced,Sales,Not-in-family,White,Female,<41-60>,United-States,<=50K
<26-40>,Private,Masters,14,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,<21-40>,United-States,<=50K
<17-25>,Private,10th,6,Never-married,Other-service,Own-child,White,Male,<21-40>,United-States,<=50K
<26-40>,Private,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,<61-80>,United-States,<=50K
<41-65>,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,<21-40>,United-States,>50K
<17-25>,Private,10th,6,Never-married,Other-service,Own-child,White,Female,<0-20>,United-States,<=50K
<26-40>,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,<41-60>,United-States,>50K
<41-65>,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,<21-40>,United-States,>50K
<17-25>,Local-gov,11th,7,Never-married,Prof-specialty,Own-child,White,Female,<0-20>,Puerto-Rico,<=50K
<41-65>,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,<21-40>,United-States,<=50K
<26-40>,Private,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,White,Male,<41-60>,United-States,<=50K
<41-65>,Private,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Female,<21-40>,United-States,<=50K
<26-40>,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,<21-40>,United-States,>50K
<41-65>,Self-emp-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,<41-60>,United-States,>50K
<26-40>,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,<21-40>,United-States,<=50K
<26-40>,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,<21-40>,Taiwan,>50K
<17-25>,Private,12th,8,Never-married,Sales,Own-child,White,Female,<0-20>,United-States,<=50K
<26-40>,Self-emp-not-inc,Bachelors,13,Divorced,Prof-specialty,Not-in-family,Black,Female,<21-40>,United-States,>50K
<17-25>,Private,9th,5,Never-married,Other-service,Own-child,Black,Male,<21-40>,United-States,<=50K
<17-25>,Private,12th,8,Never-married,Other-service,Own-child,White,Female,<0-20>,United-States,<=50K
<66-90>,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,<21-40>,United-States,<=50K
<17-25>,Private,10th,6,Never-married,Prof-specialty,Own-child,White,Male,<0-20>,United-States,<=50K
<26-40>,Private,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,<21-40>,United-States,<=50K
<41-65>,Private,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,<21-40>,United-States,<=50K
<26-40>,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,<21-40>,United-States,<=50K
<41-65>,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,<41-60>,United-States,<=50K
<26-40>,Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,<41-60>,United-States,<=50K
<26-40>,Private,11th,7,Never-married,Exec-managerial,Not-in-family,White,Female,<21-40>,United-States,<=50K